no	scene	subfolder	image_id	object	label	box
1	table_small	table_small_1	1	cereal_box	cereal_box_1	(1, 138, 27, 132)
2	table_small	table_small_1	2	cereal_box	cereal_box_1	(1, 20, 68, 269)
3	table_small	table_small_1	3	cereal_box	cereal_box_1	(1, 13, 101, 281)
4	table_small	table_small_1	4	cereal_box	cereal_box_1	(1, 30, 135, 276)
5	table_small	table_small_1	5	cereal_box	cereal_box_1	(54, 33, 121, 270)
6	table_small	table_small_1	5	soda_can	soda_can_3	(1, 125, 54, 86)
7	table_small	table_small_1	6	cereal_box	cereal_box_1	(85, 38, 111, 267)
8	table_small	table_small_1	6	soda_can	soda_can_3	(3, 127, 72, 85)
9	table_small	table_small_1	7	cereal_box	cereal_box_1	(104, 31, 107, 266)
10	table_small	table_small_1	7	soda_can	soda_can_3	(17, 121, 71, 85)
11	table_small	table_small_1	8	cereal_box	cereal_box_1	(135, 35, 99, 260)
12	table_small	table_small_1	8	coffee_mug	coffee_mug_1	(1, 104, 21, 75)
13	table_small	table_small_1	8	soda_can	soda_can_3	(44, 123, 67, 84)
14	table_small	table_small_1	9	cereal_box	cereal_box_1	(143, 45, 97, 257)
15	table_small	table_small_1	9	coffee_mug	coffee_mug_1	(1, 109, 25, 76)
16	table_small	table_small_1	9	soda_can	soda_can_3	(50, 130, 65, 83)
17	table_small	table_small_1	10	bowl	bowl_4	(1, 179, 38, 88)
18	table_small	table_small_1	10	cereal_box	cereal_box_1	(191, 34, 93, 252)
19	table_small	table_small_1	10	coffee_mug	coffee_mug_1	(1, 95, 75, 74)
20	table_small	table_small_1	10	soda_can	soda_can_3	(101, 117, 59, 81)
21	table_small	table_small_1	11	bowl	bowl_4	(1, 168, 74, 88)
22	table_small	table_small_1	11	cereal_box	cereal_box_1	(224, 35, 85, 246)
23	table_small	table_small_1	11	coffee_mug	coffee_mug_1	(35, 90, 80, 71)
24	table_small	table_small_1	11	soda_can	soda_can_3	(138, 114, 55, 78)
25	table_small	table_small_1	12	bowl	bowl_4	(1, 177, 74, 89)
26	table_small	table_small_1	12	cereal_box	cereal_box_1	(223, 42, 85, 246)
27	table_small	table_small_1	12	coffee_mug	coffee_mug_1	(33, 97, 80, 71)
28	table_small	table_small_1	12	soda_can	soda_can_3	(136, 120, 56, 78)
29	table_small	table_small_1	13	bowl	bowl_4	(1, 191, 84, 90)
30	table_small	table_small_1	13	cereal_box	cereal_box_1	(230, 52, 91, 247)
31	table_small	table_small_1	13	coffee_mug	coffee_mug_1	(37, 104, 81, 73)
32	table_small	table_small_1	13	soda_can	soda_can_3	(143, 129, 55, 78)
33	table_small	table_small_1	14	bowl	bowl_4	(1, 188, 82, 93)
34	table_small	table_small_1	14	cereal_box	cereal_box_1	(231, 48, 96, 250)
35	table_small	table_small_1	14	coffee_mug	coffee_mug_1	(31, 98, 82, 74)
36	table_small	table_small_1	14	soda_can	soda_can_3	(140, 124, 57, 79)
37	table_small	table_small_1	15	bowl	bowl_4	(1, 188, 81, 96)
38	table_small	table_small_1	15	cereal_box	cereal_box_1	(232, 48, 99, 253)
39	table_small	table_small_1	15	coffee_mug	coffee_mug_1	(25, 94, 84, 75)
40	table_small	table_small_1	15	soda_can	soda_can_3	(138, 122, 57, 80)
41	table_small	table_small_1	16	bowl	bowl_4	(1, 206, 82, 99)
42	table_small	table_small_1	16	cereal_box	cereal_box_1	(234, 63, 102, 254)
43	table_small	table_small_1	16	coffee_mug	coffee_mug_1	(23, 107, 85, 76)
44	table_small	table_small_1	16	soda_can	soda_can_3	(138, 136, 58, 80)
45	table_small	table_small_1	17	bowl	bowl_4	(1, 237, 87, 104)
46	table_small	table_small_1	17	cereal_box	cereal_box_1	(242, 93, 107, 256)
47	table_small	table_small_1	17	coffee_mug	coffee_mug_1	(25, 134, 86, 77)
48	table_small	table_small_1	17	soda_can	soda_can_3	(144, 165, 57, 79)
49	table_small	table_small_1	18	bowl	bowl_4	(1, 257, 92, 108)
50	table_small	table_small_1	18	cereal_box	cereal_box_1	(248, 109, 113, 258)
51	table_small	table_small_1	18	coffee_mug	coffee_mug_1	(24, 149, 87, 78)
52	table_small	table_small_1	18	soda_can	soda_can_3	(147, 180, 57, 80)
53	table_small	table_small_1	19	bowl	bowl_4	(1, 276, 98, 111)
54	table_small	table_small_1	19	cereal_box	cereal_box_1	(253, 125, 117, 257)
55	table_small	table_small_1	19	coffee_mug	coffee_mug_1	(24, 165, 88, 78)
56	table_small	table_small_1	19	soda_can	soda_can_3	(150, 195, 57, 80)
57	table_small	table_small_1	20	bowl	bowl_4	(1, 271, 96, 114)
58	table_small	table_small_1	20	cereal_box	cereal_box_1	(253, 117, 121, 259)
59	table_small	table_small_1	20	coffee_mug	coffee_mug_1	(16, 155, 90, 80)
60	table_small	table_small_1	20	soda_can	soda_can_3	(147, 187, 58, 81)
61	table_small	table_small_1	21	bowl	bowl_4	(1, 270, 100, 118)
62	table_small	table_small_1	21	cereal_box	cereal_box_1	(255, 109, 128, 262)
63	table_small	table_small_1	21	coffee_mug	coffee_mug_1	(12, 149, 92, 82)
64	table_small	table_small_1	21	soda_can	soda_can_3	(147, 181, 59, 82)
65	table_small	table_small_1	22	bowl	bowl_4	(1, 271, 105, 120)
66	table_small	table_small_1	22	cereal_box	cereal_box_1	(259, 103, 134, 263)
67	table_small	table_small_1	22	coffee_mug	coffee_mug_1	(7, 147, 95, 82)
68	table_small	table_small_1	22	soda_can	soda_can_3	(148, 177, 59, 83)
69	table_small	table_small_1	23	bowl	bowl_4	(1, 276, 114, 122)
70	table_small	table_small_1	23	cereal_box	cereal_box_1	(267, 105, 138, 265)
71	table_small	table_small_1	23	coffee_mug	coffee_mug_1	(13, 151, 95, 83)
72	table_small	table_small_1	23	soda_can	soda_can_3	(155, 181, 59, 83)
73	table_small	table_small_1	24	bowl	bowl_4	(1, 278, 118, 122)
74	table_small	table_small_1	24	cereal_box	cereal_box_1	(273, 110, 137, 266)
75	table_small	table_small_1	24	coffee_mug	coffee_mug_1	(22, 154, 93, 82)
76	table_small	table_small_1	24	soda_can	soda_can_3	(162, 184, 58, 83)
77	table_small	table_small_1	25	bowl	bowl_4	(1, 277, 101, 121)
78	table_small	table_small_1	25	cereal_box	cereal_box_1	(262, 114, 132, 267)
79	table_small	table_small_1	25	coffee_mug	coffee_mug_1	(10, 153, 94, 83)
80	table_small	table_small_1	25	soda_can	soda_can_3	(149, 186, 59, 83)
81	table_small	table_small_1	26	bowl	bowl_4	(1, 278, 95, 121)
82	table_small	table_small_1	26	cereal_box	cereal_box_1	(257, 116, 131, 271)
83	table_small	table_small_1	26	coffee_mug	coffee_mug_1	(10, 154, 94, 83)
84	table_small	table_small_1	26	soda_can	soda_can_3	(146, 188, 61, 83)
85	table_small	table_small_1	27	bowl	bowl_4	(1, 273, 93, 124)
86	table_small	table_small_1	27	cereal_box	cereal_box_1	(259, 110, 133, 275)
87	table_small	table_small_1	27	coffee_mug	coffee_mug_1	(8, 148, 95, 84)
88	table_small	table_small_1	27	soda_can	soda_can_3	(146, 183, 61, 85)
89	table_small	table_small_1	28	bowl	bowl_4	(1, 286, 102, 126)
90	table_small	table_small_1	28	cereal_box	cereal_box_1	(265, 113, 139, 278)
91	table_small	table_small_1	28	coffee_mug	coffee_mug_1	(9, 159, 97, 85)
92	table_small	table_small_1	28	soda_can	soda_can_3	(151, 191, 61, 86)
93	table_small	table_small_1	29	bowl	bowl_4	(1, 302, 112, 132)
94	table_small	table_small_1	29	cereal_box	cereal_box_1	(270, 113, 152, 279)
95	table_small	table_small_1	29	coffee_mug	coffee_mug_1	(1, 171, 101, 86)
96	table_small	table_small_1	29	soda_can	soda_can_3	(153, 198, 62, 87)
97	table_small	table_small_1	30	bowl	bowl_4	(1, 311, 121, 136)
98	table_small	table_small_1	30	cereal_box	cereal_box_1	(274, 112, 158, 275)
99	table_small	table_small_1	30	coffee_mug	coffee_mug_1	(1, 180, 95, 88)
100	table_small	table_small_1	30	soda_can	soda_can_3	(152, 202, 62, 88)
101	table_small	table_small_1	31	bowl	bowl_4	(1, 297, 129, 135)
102	table_small	table_small_1	31	cereal_box	cereal_box_1	(281, 100, 160, 271)
103	table_small	table_small_1	31	coffee_mug	coffee_mug_1	(1, 169, 96, 88)
104	table_small	table_small_1	31	soda_can	soda_can_3	(157, 191, 60, 87)
105	table_small	table_small_1	32	bowl	bowl_4	(4, 289, 142, 131)
106	table_small	table_small_1	32	cereal_box	cereal_box_1	(293, 94, 163, 267)
107	table_small	table_small_1	32	coffee_mug	coffee_mug_1	(7, 164, 102, 87)
108	table_small	table_small_1	32	soda_can	soda_can_3	(170, 184, 58, 88)
109	table_small	table_small_1	33	bowl	bowl_4	(13, 286, 142, 132)
110	table_small	table_small_1	33	cereal_box	cereal_box_1	(301, 89, 167, 268)
111	table_small	table_small_1	33	coffee_mug	coffee_mug_1	(12, 162, 102, 87)
112	table_small	table_small_1	33	soda_can	soda_can_3	(177, 181, 58, 88)
113	table_small	table_small_1	34	bowl	bowl_4	(17, 286, 143, 133)
114	table_small	table_small_1	34	cereal_box	cereal_box_1	(302, 82, 171, 268)
115	table_small	table_small_1	34	coffee_mug	coffee_mug_1	(6, 162, 105, 90)
116	table_small	table_small_1	34	soda_can	soda_can_3	(176, 179, 58, 89)
117	table_small	table_small_1	35	bowl	bowl_4	(29, 285, 143, 133)
118	table_small	table_small_1	35	cereal_box	cereal_box_1	(308, 80, 177, 266)
119	table_small	table_small_1	35	coffee_mug	coffee_mug_1	(10, 163, 104, 90)
120	table_small	table_small_1	35	soda_can	soda_can_3	(183, 178, 58, 89)
121	table_small	table_small_1	36	bowl	bowl_4	(65, 277, 137, 130)
122	table_small	table_small_1	36	cereal_box	cereal_box_1	(333, 76, 184, 264)
123	table_small	table_small_1	36	coffee_mug	coffee_mug_1	(39, 161, 101, 88)
124	table_small	table_small_1	36	soda_can	soda_can_3	(211, 174, 56, 90)
125	table_small	table_small_1	37	bowl	bowl_4	(84, 273, 135, 129)
126	table_small	table_small_1	37	cereal_box	cereal_box_1	(346, 70, 188, 263)
127	table_small	table_small_1	37	coffee_mug	coffee_mug_1	(50, 159, 101, 89)
128	table_small	table_small_1	37	soda_can	soda_can_3	(224, 171, 55, 90)
129	table_small	table_small_1	38	bowl	bowl_4	(97, 275, 135, 131)
130	table_small	table_small_1	38	cereal_box	cereal_box_1	(356, 73, 193, 264)
131	table_small	table_small_1	38	coffee_mug	coffee_mug_1	(59, 162, 101, 90)
132	table_small	table_small_1	38	soda_can	soda_can_3	(234, 174, 55, 91)
133	table_small	table_small_1	39	bowl	bowl_4	(108, 266, 136, 130)
134	table_small	table_small_1	39	cereal_box	cereal_box_1	(363, 59, 197, 265)
135	table_small	table_small_1	39	coffee_mug	coffee_mug_1	(64, 153, 101, 91)
136	table_small	table_small_1	39	soda_can	soda_can_3	(241, 163, 55, 91)
137	table_small	table_small_1	40	bowl	bowl_4	(111, 268, 134, 129)
138	table_small	table_small_1	40	cereal_box	cereal_box_1	(362, 63, 193, 262)
139	table_small	table_small_1	40	coffee_mug	coffee_mug_1	(65, 159, 100, 90)
140	table_small	table_small_1	40	soda_can	soda_can_3	(241, 168, 54, 90)
141	table_small	table_small_1	41	bowl	bowl_4	(129, 284, 132, 125)
142	table_small	table_small_1	41	cereal_box	cereal_box_1	(365, 80, 186, 251)
143	table_small	table_small_1	41	coffee_mug	coffee_mug_1	(73, 182, 99, 88)
144	table_small	table_small_1	41	soda_can	soda_can_3	(246, 185, 54, 89)
145	table_small	table_small_1	42	bowl	bowl_4	(133, 280, 132, 120)
146	table_small	table_small_1	42	cereal_box	cereal_box_1	(359, 77, 180, 243)
147	table_small	table_small_1	42	coffee_mug	coffee_mug_1	(68, 182, 98, 89)
148	table_small	table_small_1	42	soda_can	soda_can_3	(241, 183, 53, 88)
149	table_small	table_small_1	43	bowl	bowl_4	(133, 284, 129, 114)
150	table_small	table_small_1	43	cereal_box	cereal_box_1	(349, 86, 171, 233)
151	table_small	table_small_1	43	coffee_mug	coffee_mug_1	(64, 193, 97, 87)
152	table_small	table_small_1	43	soda_can	soda_can_3	(234, 191, 53, 86)
153	table_small	table_small_1	44	bowl	bowl_4	(149, 259, 129, 111)
154	table_small	table_small_1	44	cereal_box	cereal_box_1	(353, 60, 173, 231)
155	table_small	table_small_1	44	coffee_mug	coffee_mug_1	(68, 173, 97, 87)
156	table_small	table_small_1	44	soda_can	soda_can_3	(239, 168, 53, 86)
157	table_small	table_small_1	45	bowl	bowl_4	(168, 261, 129, 111)
158	table_small	table_small_1	45	cereal_box	cereal_box_1	(362, 61, 173, 228)
159	table_small	table_small_1	45	coffee_mug	coffee_mug_1	(77, 176, 97, 88)
160	table_small	table_small_1	45	soda_can	soda_can_3	(248, 170, 53, 86)
161	table_small	table_small_1	46	bowl	bowl_4	(208, 258, 130, 111)
162	table_small	table_small_1	46	cereal_box	cereal_box_1	(391, 56, 180, 229)
163	table_small	table_small_1	46	coffee_mug	coffee_mug_1	(109, 174, 95, 88)
164	table_small	table_small_1	46	soda_can	soda_can_3	(278, 167, 53, 86)
165	table_small	table_small_1	47	bowl	bowl_4	(216, 241, 134, 113)
166	table_small	table_small_1	47	cereal_box	cereal_box_1	(396, 37, 187, 233)
167	table_small	table_small_1	47	coffee_mug	coffee_mug_1	(110, 156, 96, 90)
168	table_small	table_small_1	47	soda_can	soda_can_3	(283, 149, 54, 88)
169	table_small	table_small_1	48	bowl	bowl_4	(230, 240, 137, 114)
170	table_small	table_small_1	48	cereal_box	cereal_box_1	(402, 34, 190, 233)
171	table_small	table_small_1	48	coffee_mug	coffee_mug_1	(115, 156, 96, 92)
172	table_small	table_small_1	48	soda_can	soda_can_3	(289, 148, 55, 89)
173	table_small	table_small_1	49	bowl	bowl_4	(264, 246, 140, 115)
174	table_small	table_small_1	49	cereal_box	cereal_box_1	(423, 37, 193, 232)
175	table_small	table_small_1	49	coffee_mug	coffee_mug_1	(137, 164, 95, 93)
176	table_small	table_small_1	49	soda_can	soda_can_3	(310, 153, 56, 90)
177	table_small	table_small_1	50	bowl	bowl_4	(282, 277, 141, 117)
178	table_small	table_small_1	50	cereal_box	cereal_box_1	(427, 72, 188, 226)
179	table_small	table_small_1	50	coffee_mug	coffee_mug_1	(144, 198, 94, 94)
180	table_small	table_small_1	50	soda_can	soda_can_3	(315, 186, 58, 90)
181	table_small	table_small_1	51	bowl	bowl_4	(322, 270, 145, 118)
182	table_small	table_small_1	51	cereal_box	cereal_box_1	(446, 65, 193, 227)
183	table_small	table_small_1	51	coffee_mug	coffee_mug_1	(166, 191, 93, 96)
184	table_small	table_small_1	51	soda_can	soda_can_3	(336, 179, 60, 92)
185	table_small	table_small_1	52	bowl	bowl_4	(286, 266, 144, 116)
186	table_small	table_small_1	52	cereal_box	cereal_box_1	(424, 67, 188, 225)
187	table_small	table_small_1	52	coffee_mug	coffee_mug_1	(139, 189, 95, 95)
188	table_small	table_small_1	52	soda_can	soda_can_3	(313, 179, 59, 91)
189	table_small	table_small_1	53	bowl	bowl_4	(299, 274, 147, 118)
190	table_small	table_small_1	53	cereal_box	cereal_box_1	(421, 73, 186, 223)
191	table_small	table_small_1	53	coffee_mug	coffee_mug_1	(136, 199, 97, 98)
192	table_small	table_small_1	53	soda_can	soda_can_3	(311, 187, 60, 92)
193	table_small	table_small_1	54	bowl	bowl_4	(300, 258, 145, 114)
194	table_small	table_small_1	54	cereal_box	cereal_box_1	(419, 63, 185, 221)
195	table_small	table_small_1	54	coffee_mug	coffee_mug_1	(138, 186, 96, 96)
